arrival_rate,avg_service_time,scheduler_id,scheduler,completed_processes,simulation_start_time,simulation_end_time,total_simulation_time,average_turnaround_time,throughput,cpu_utilization,average_ready_queue_length
10.0,0.04,0,FCFS,10000,0.11117141758959581,994.401451457312,994.2902800397223,0.06847199974681085,10.057425080732456,0.4072081310896608,0.28146630746718737
11.0,0.04,0,FCFS,10000,0.04155997384606692,899.2981617231628,899.2566017493167,0.06933056713093493,11.120296454368063,0.44189020925823946,0.3295766969760382
12.0,0.04,0,FCFS,10000,0.03443408781911655,834.9007084375735,834.8662743497543,0.07904257613262723,11.97796618121701,0.4850635802517321,0.46170572354114775
13.0,0.04,0,FCFS,10000,0.18149585246561312,760.3166744987287,760.1351786462632,0.08430741729996709,13.155554802514414,0.5274873618280235,0.5816234867201444
14.0,0.04,0,FCFS,10000,0.05176586390073877,710.6520845999742,710.6003187360734,0.0940990725556147,14.072608379611683,0.5718543423522243,0.7523650546076065
15.0,0.04,0,FCFS,10000,0.007303151448227448,661.4698161411028,661.4625129896546,0.10484308967274196,15.118014707745656,0.613941513531137,0.9710778581468691
16.0,0.04,0,FCFS,10000,0.02836675045176258,627.1615763767797,627.133209626328,0.1139631598805377,15.945575591441592,0.6367071232906493,1.1805224601333884
17.0,0.04,0,FCFS,10000,0.03861529148066728,593.1634729635095,593.1248576720288,0.11942933869043404,16.859856522030217,0.6776922147874204,1.3358693000542567
18.0,0.04,0,FCFS,10000,0.027823938635904804,565.5008777830343,565.4730538443984,0.13339753184222833,17.684308619154304,0.7107786485722559,1.6490170054543327
19.0,0.04,0,FCFS,10000,0.0018348902906120106,525.0272571453359,525.0254222550452,0.16329809265691003,19.04669674289073,0.7722409151628257,2.3386155443918106
20.0,0.04,0,FCFS,10000,0.005978584958258105,493.96757241618747,493.9615938312292,0.19674517829643814,20.24448889323302,0.8028802442547363,3.1802089574479924
21.0,0.04,0,FCFS,10000,0.0360669783184366,480.77514362286206,480.7390766445436,0.24774435250200122,20.801304669880114,0.8234892755006782,4.331198575325089
22.0,0.04,0,FCFS,10000,0.006456836083486161,460.06935893677314,460.06290210068966,0.25892247224479575,21.736158152155014,0.8610003732131447,4.766979432646686
23.0,0.04,0,FCFS,10000,0.02915345512887777,445.2239752455837,445.1948217904548,0.3257286098030461,22.46207617551046,0.8851078216033739,6.5245319944871
24.0,0.04,0,FCFS,10000,0.06645014078241007,422.5447264402205,422.47827629943805,0.9222072562642984,23.66985608725677,0.9540994396727306,20.87931138146846
25.0,0.04,0,FCFS,10000,0.009420978844845145,405.86560721858,405.85618623973517,1.1907315906063565,24.639269620724964,0.9659110117211056,28.43085652021157
26.0,0.04,0,FCFS,10000,0.0009966078935298754,396.82761346586045,396.82661685796694,10.164675697196046,25.199922523289867,0.9982102440049042,263.0750205380614
27.0,0.04,0,FCFS,10000,0.000759239390639435,408.89745650164855,408.89669726225793,18.608922548207744,24.456054712484523,0.9993591448308994,508.107013707
28.0,0.04,0,FCFS,10000,0.02217913698749218,405.85462752430027,405.83244838731275,23.964922755727645,24.640710814864015,0.9978335697845928,671.209916915439
29.0,0.04,0,FCFS,10000,0.031980887222191105,394.8926697489159,394.86068886169375,26.093346069672727,25.32538761665044,0.9997980012750476,745.1316758631316
30.0,0.04,0,FCFS,10000,0.10557925362864777,403.84031497081327,403.7347357171846,39.10194935883977,24.76873827127171,0.9993619651365875,1166.5361840847252
10.0,0.04,1,SJF,10000,0.06477076703682567,1009.4730113117214,1009.4082405446845,0.0605428747839209,9.906794494370208,0.39698863862820505,0.20283423800348083
11.0,0.04,1,SJF,10000,0.02230819515196632,902.6202739656464,902.5979657704945,0.06294458417500125,11.079129777855849,0.44135007661498277,0.2560211402730276
12.0,0.04,1,SJF,10000,0.027541557867512556,837.3834324488788,837.3558908910113,0.06675562327171274,11.942353435119717,0.4769248058780909,0.3203123675820142
13.0,0.04,1,SJF,10000,0.0021675198103941165,765.1810555634128,765.1788880436023,0.07132188523536762,13.068839399853081,0.5288625253592987,0.4032317384764734
14.0,0.04,1,SJF,10000,0.05388542200375336,720.9182784725838,720.86439305058,0.07632610807542835,13.872234634424983,0.565612659816759,0.4932010201380628
15.0,0.04,1,SJF,10000,0.020941211209154997,674.1691634573182,674.1482222461091,0.07746081422956902,14.833533145993126,0.5995506000596327,0.5494669553302958
16.0,0.04,1,SJF,10000,0.10233921355295424,629.9578029858709,629.855463772318,0.08323853013462347,15.876658336990833,0.6304286947776071,0.6911210086431171
17.0,0.04,1,SJF,10000,0.03614610115451872,600.450957418467,600.4148113173126,0.08767331298792543,16.655152090702025,0.6735493818295097,0.787908700098365
18.0,0.04,1,SJF,10000,0.014502788370575479,560.8556636647849,560.8411608764143,0.0959322799946964,17.83036035438843,0.7148590512367239,0.9958760308953649
19.0,0.04,1,SJF,10000,0.0030708440323702576,518.5706794785597,518.5676086345273,0.11182498414364177,19.28388860679444,0.7893282380999183,1.367269978406331
20.0,0.04,1,SJF,10000,0.04539315673080009,499.27950187651874,499.2341087197879,0.10604045677483073,20.030682650357207,0.7777322664848004,1.346330471270749
21.0,0.04,1,SJF,10000,0.045435978962755835,474.01017147160326,473.9647354926405,0.12831450805776745,21.098616101904643,0.8468647910399653,1.8603937547756277
22.0,0.04,1,SJF,10000,0.028359047239524017,459.44985448682286,459.42149543958334,0.14002848663721693,21.76650439577671,0.8755178916074412,2.172636090019788
23.0,0.04,1,SJF,10000,0.014291975749516263,433.32282763515,433.3085356594005,0.19302367339141996,23.07824373868425,0.9271101428097471,3.5296904115046255
24.0,0.04,1,SJF,10000,0.10085168873115159,415.36560845672386,415.2647567679927,0.24553781329254917,24.08102261754655,0.9691813197825291,5.687661924735335
25.0,0.04,1,SJF,10000,0.006563268356438022,403.23673489551044,403.230171627154,0.42929027289395216,24.79973152714991,0.974828951538984,10.451109981142093
26.0,0.04,1,SJF,10000,0.011926611449044087,394.9506919909322,394.9387653794832,0.7286106051605822,25.320380971949767,0.9981824558407658,21.304394498144404
27.0,0.04,1,SJF,10000,0.025519874783379706,373.8720961844427,373.8465763096593,0.7381644068017104,26.748940965870826,0.9995018253315432,80.37627896179774
28.0,0.04,1,SJF,10000,0.002779880166826697,363.31010374915166,363.30732386898484,0.44604947177791365,27.52490616898816,1.0,116.56188365957611
29.0,0.04,1,SJF,10000,0.07431967736520653,355.77924445347475,355.7049247761095,0.7050756341800829,28.113189622815245,0.9982581924795367,168.491781064763
30.0,0.04,1,SJF,10000,0.026061319526787825,345.04186835234117,345.0158070328144,0.4348757058707152,28.984179264137026,0.9990988852609165,235.79003494752683
